iter	Passed	Remaining
419	2137	2952
420	2142	2946
421	2147	2940
422	2151	2935
423	2156	2930
424	2161	2923
425	2165	2918
426	2170	2912
427	2174	2906
428	2179	2901
429	2184	2895
430	2189	2890
431	2193	2884
432	2197	2877
433	2202	2872
434	2206	2866
435	2211	2860
436	2215	2854
437	2220	2849
438	2224	2843
439	2229	2837
440	2233	2831
441	2237	2825
442	2242	2819
443	2246	2813
444	2251	2808
445	2255	2802
446	2260	2795
447	2265	2791
448	2269	2785
449	2274	2779
450	2278	2773
451	2283	2768
452	2287	2762
453	2292	2756
454	2296	2750
455	2300	2744
456	2305	2739
457	2310	2734
458	2315	2729
459	2319	2723
460	2324	2717
461	2328	2711
462	2333	2705
463	2337	2700
464	2341	2694
465	2346	2688
466	2351	2683
467	2355	2677
468	2359	2671
469	2363	2665
470	2368	2659
471	2372	2653
472	2376	2647
473	2381	2642
474	2385	2636
475	2390	2631
476	2394	2625
477	2398	2619
478	2403	2613
479	2407	2607
480	2412	2602
481	2416	2597
482	2421	2591
483	2425	2585
484	2430	2580
485	2434	2574
486	2438	2568
487	2443	2563
488	2448	2559
489	2453	2553
490	2458	2548
491	2462	2542
492	2466	2536
493	2471	2531
494	2476	2526
495	2481	2521
496	2486	2516
497	2491	2511
498	2496	2506
499	2501	2501
500	2507	2497
501	2512	2492
502	2517	2487
503	2522	2482
504	2527	2477
505	2531	2471
506	2536	2466
507	2541	2461
508	2546	2456
509	2551	2451
510	2556	2446
511	2561	2441
512	2565	2435
513	2574	2434
514	2580	2429
515	2585	2425
516	2590	2420
517	2594	2414
518	2600	2410
519	2605	2405
520	2610	2400
521	2616	2395
522	2621	2391
523	2627	2386
524	2631	2381
525	2637	2376
526	2642	2371
527	2648	2367
528	2652	2362
529	2657	2356
530	2662	2351
531	2667	2346
532	2672	2341
533	2678	2337
534	2682	2331
535	2688	2327
536	2693	2322
537	2698	2317
538	2704	2312
539	2708	2307
540	2714	2302
541	2718	2297
542	2723	2292
543	2728	2287
544	2733	2282
545	2739	2277
546	2744	2272
547	2749	2267
548	2753	2262
549	2758	2256
550	2763	2251
551	2768	2246
552	2772	2241
553	2776	2235
554	2781	2230
555	2785	2224
556	2790	2219
557	2794	2213
558	2798	2208
559	2803	2203
560	2808	2197
561	2813	2192
562	2817	2186
563	2821	2181
564	2826	2176
565	2830	2170
566	2835	2165
567	2839	2159
568	2844	2154
569	2848	2148
570	2852	2143
571	2857	2138
572	2861	2132
573	2866	2127
574	2870	2121
575	2874	2116
576	2878	2110
577	2883	2105
578	2888	2100
579	2892	2094
580	2896	2088
581	2901	2084
582	2906	2078
583	2910	2073
584	2915	2067
585	2920	2063
586	2924	2057
587	2928	2052
588	2933	2047
589	2938	2041
590	2942	2036
591	2947	2031
592	2951	2025
593	2956	2020
594	2960	2015
595	2965	2010
596	2969	2004
597	2973	1999
598	2978	1993
599	2983	1989
600	2988	1983
601	2992	1978
602	2997	1973
603	3002	1968
604	3006	1962
605	3011	1957
606	3015	1952
607	3019	1946
608	3024	1941
609	3029	1936
610	3033	1931
611	3039	1926
612	3044	1921
613	3048	1916
614	3053	1911
615	3058	1906
616	3063	1901
617	3068	1896
618	3073	1891
619	3078	1887
620	3083	1881
621	3088	1876
622	3093	1871
623	3098	1867
624	3103	1861
625	3110	1858
626	3114	1853
627	3119	1847
628	3124	1843
629	3129	1837
630	3134	1833
631	3139	1828
632	3144	1823
633	3149	1818
634	3154	1813
635	3160	1808
636	3165	1803
637	3170	1798
638	3176	1794
639	3181	1789
640	3186	1784
641	3192	1780
642	3196	1774
643	3202	1770
644	3208	1765
645	3212	1760
646	3218	1755
647	3222	1750
648	3228	1746
649	3233	1741
650	3238	1736
651	3243	1731
652	3248	1726
653	3253	1721
654	3259	1716
655	3263	1711
656	3268	1706
657	3272	1701
658	3277	1695
659	3281	1690
660	3285	1685
661	3290	1680
662	3295	1674
663	3300	1670
664	3305	1665
665	3309	1659
666	3314	1654
667	3318	1649
668	3323	1644
669	3327	1639
670	3332	1633
671	3336	1628
672	3340	1623
673	3344	1617
674	3349	1612
675	3353	1607
676	3358	1602
677	3363	1597
678	3367	1591
679	3371	1586
680	3376	1581
681	3380	1576
682	3384	1570
683	3389	1566
684	3394	1560
685	3398	1555
686	3402	1550
687	3407	1545
688	3411	1539
689	3415	1534
690	3421	1529
691	3426	1525
692	3430	1519
693	3434	1514
694	3439	1509
695	3443	1504
696	3448	1498
697	3453	1494
698	3457	1488
699	3461	1483
700	3465	1478
701	3470	1473
702	3474	1467
703	3478	1462
704	3483	1457
705	3487	1452
706	3492	1447
707	3496	1442
708	3500	1436
709	3505	1431
710	3509	1426
711	3514	1421
712	3519	1416
713	3523	1411
714	3528	1406
715	3532	1401
716	3536	1395
717	3541	1390
718	3545	1385
719	3550	1380
720	3555	1375
721	3559	1370
722	3564	1365
723	3568	1360
724	3573	1355
725	3577	1350
726	3582	1345
727	3588	1340
728	3592	1335
729	3598	1330
730	3603	1325
731	3607	1320
732	3612	1315
733	3617	1311
734	3622	1306
735	3627	1301
736	3632	1296
737	3637	1291
738	3642	1286
739	3648	1282
740	3653	1277
741	3659	1272
742	3664	1267
743	3669	1262
744	3674	1257
745	3680	1253
746	3685	1248
747	3689	1243
748	3695	1238
749	3699	1233
750	3703	1228
751	3708	1223
752	3714	1218
753	3719	1213
754	3724	1208
755	3729	1203
756	3735	1198
757	3740	1194
758	3745	1189
759	3750	1184
760	3755	1179
761	3759	1174
762	3764	1169
763	3770	1164
764	3775	1159
765	3781	1155
766	3786	1150
767	3791	1145
768	3796	1140
769	3801	1135
770	3806	1130
771	3811	1125
772	3816	1120
773	3821	1115
774	3826	1110
775	3831	1105
776	3837	1101
777	3841	1096
778	3847	1091
779	3852	1086
780	3856	1081
781	3861	1076
782	3866	1071
783	3870	1066
784	3875	1061
785	3879	1056
786	3883	1051
787	3888	1046
788	3893	1041
789	3898	1036
790	3902	1031
791	3907	1026
792	3912	1021
793	3916	1016
794	3921	1011
795	3925	1006
796	3929	1000
797	3934	995
798	3938	990
799	3943	985
800	3947	980
801	3952	975
802	3956	970
803	3961	965
804	3965	960
805	3969	955
806	3974	950
807	3978	945
808	3982	940
809	3987	935
810	3991	930
811	3996	925
812	4000	920
813	4004	915
814	4009	910
815	4013	905
816	4018	900
817	4022	894
818	4026	889
819	4031	884
820	4036	880
821	4040	875
822	4045	870
823	4049	864
824	4053	859
825	4058	854
826	4062	849
827	4067	844
828	4071	839
829	4076	834
830	4080	829
831	4084	824
832	4089	819
833	4093	814
834	4098	809
835	4103	804
836	4107	799
837	4111	794
838	4115	789
839	4121	785
840	4125	780
841	4129	774
842	4134	770
843	4139	765
844	4143	759
845	4147	754
846	4152	750
847	4156	745
848	4160	740
849	4165	735
850	4170	730
851	4174	725
852	4178	720
853	4183	715
854	4187	710
855	4191	705
856	4196	700
857	4200	695
858	4205	690
859	4209	685
860	4214	680
861	4218	675
862	4223	670
863	4227	665
864	4231	660
865	4236	655
866	4240	650
867	4244	645
868	4249	640
869	4253	635
870	4257	630
871	4262	625
872	4266	620
873	4272	615
874	4276	610
875	4281	606
876	4285	601
877	4289	596
878	4294	591
879	4299	586
880	4304	581
881	4308	576
882	4312	571
883	4317	566
884	4321	561
885	4326	556
886	4330	551
887	4335	546
888	4340	541
889	4344	536
890	4348	532
891	4353	527
892	4357	522
893	4363	517
894	4368	512
895	4372	507
896	4376	502
897	4381	497
898	4385	492
899	4389	487
900	4394	482
901	4399	477
902	4403	473
903	4407	468
904	4411	463
905	4416	458
906	4420	453
907	4426	448
908	4430	443
909	4434	438
910	4439	433
911	4443	428
912	4447	423
913	4452	418
914	4457	414
915	4461	409
916	4466	404
917	4470	399
918	4475	394
919	4479	389
920	4483	384
921	4489	379
922	4493	374
923	4498	369
924	4503	365
925	4507	360
926	4512	355
927	4517	350
928	4521	345
929	4525	340
930	4530	335
931	4534	330
932	4539	325
933	4543	321
934	4548	316
935	4554	311
936	4558	306
937	4563	301
938	4568	296
939	4572	291
940	4577	286
941	4581	282
942	4587	277
943	4592	272
944	4597	267
945	4601	262
946	4605	257
947	4609	252
948	4614	247
949	4619	243
950	4624	238
951	4629	233
952	4633	228
953	4637	223
954	4642	218
955	4646	213
956	4651	209
957	4656	204
958	4661	199
959	4665	194
960	4669	189
961	4674	184
962	4678	179
963	4684	174
964	4688	170
965	4693	165
966	4697	160
967	4701	155
968	4706	150
969	4710	145
970	4715	140
971	4720	135
972	4725	131
973	4729	126
974	4734	121
975	4738	116
976	4745	111
977	4750	106
978	4754	101
979	4759	97
980	4763	92
981	4767	87
982	4772	82
983	4777	77
984	4782	72
985	4786	67
986	4790	63
987	4795	58
988	4799	53
989	4804	48
990	4809	43
991	4814	38
992	4818	33
993	4823	29
994	4827	24
995	4831	19
996	4836	14
997	4841	9
998	4845	4
999	4850	0
