iter	Logloss
0	0.6689131257
1	0.6476253489
2	0.6271693532
3	0.6060060682
4	0.5852866901
5	0.5665086711
6	0.5496487428
7	0.5334810263
8	0.5173977532
9	0.5064695186
10	0.493946323
11	0.481261314
12	0.4696795279
13	0.4596794421
14	0.4517450367
15	0.4435241024
16	0.4349371889
17	0.4263347785
18	0.4186026399
19	0.4127086229
20	0.4057581685
21	0.4001503346
22	0.3959843467
23	0.3921534959
24	0.3873490605
25	0.3823995714
26	0.3785608399
27	0.3742331823
28	0.371049392
29	0.3659369328
30	0.3617369963
31	0.3582773335
32	0.3546215565
33	0.3525358909
34	0.3495109183
35	0.3466090241
36	0.3438776652
37	0.341597553
38	0.3393351962
39	0.3377205052
40	0.3352738479
41	0.3331519617
42	0.331567378
43	0.3294160051
44	0.3273752159
45	0.3257630758
46	0.3242919327
47	0.3222320668
48	0.3206435388
49	0.3194345316
50	0.3183508959
51	0.3171568
52	0.3157014825
53	0.3146769274
54	0.313381664
55	0.3121346787
56	0.3109691501
57	0.3100564068
58	0.3092243232
59	0.3082026982
60	0.3072694011
61	0.3062631757
62	0.305690428
63	0.3050496037
64	0.3041756453
65	0.3026392347
66	0.3018811197
67	0.3009686351
68	0.3003084091
69	0.2993795706
70	0.2988901335
71	0.2983203125
72	0.2978123057
73	0.2972952558
74	0.2966681255
75	0.2960721919
76	0.2955059504
77	0.2949334602
78	0.2944307742
79	0.2936488833
80	0.2932250131
81	0.2926555771
82	0.292197149
83	0.2916190667
84	0.2912580508
85	0.2907899069
86	0.2901107243
87	0.2896834089
88	0.2893642115
89	0.2889130238
90	0.2885027341
91	0.2880310381
92	0.2876950234
93	0.2872491251
94	0.2869846254
95	0.2866685297
96	0.2863035475
97	0.2859490565
98	0.2855871242
99	0.2851546158
100	0.284699072
101	0.2843763058
102	0.283841242
103	0.2835669794
104	0.2831579645
105	0.2827198186
106	0.2822455105
107	0.2819780046
108	0.2816446764
109	0.2814974151
110	0.2812683559
111	0.2810709178
112	0.2808164432
113	0.2805672996
114	0.2802567017
115	0.279961119
116	0.2796286415
117	0.2794694615
118	0.2790720678
119	0.2787072013
120	0.2784281571
121	0.2782024994
122	0.2778423594
123	0.2776194773
124	0.2772250348
125	0.2768671144
126	0.276545879
127	0.2763279363
128	0.2760378158
129	0.2757735119
130	0.2754758207
131	0.275245937
132	0.2750797499
133	0.2749501481
134	0.2746223712
135	0.2744305758
136	0.2742352379
137	0.274032158
138	0.273844736
139	0.2736538572
140	0.2734077432
141	0.2732086557
142	0.2729991119
143	0.2727026059
144	0.2724834621
145	0.2722650153
146	0.2721607458
147	0.2718589392
148	0.2715580909
149	0.2713360861
150	0.2711457465
151	0.2708852165
152	0.270724624
153	0.2705127583
154	0.2701365082
155	0.2699628667
156	0.2696497204
157	0.2694942165
158	0.2691998909
159	0.2689456532
160	0.2687667123
161	0.2685775254
162	0.2683915436
163	0.2682188666
164	0.2678405658
165	0.2675591756
166	0.267299555
167	0.2670986764
168	0.2669514182
169	0.266818575
170	0.266648766
171	0.2665036867
172	0.2663997562
173	0.2661735281
174	0.2660369102
175	0.2658348944
176	0.265583485
177	0.2654956131
178	0.2653337627
179	0.2651920882
180	0.2649969947
181	0.2648426389
182	0.2646850688
183	0.2644009044
184	0.264260738
185	0.2640497716
186	0.2638517725
187	0.2636052141
188	0.2633029501
189	0.2631740063
190	0.2630015142
191	0.2629096679
192	0.2627564769
193	0.2625561754
194	0.2624503616
195	0.2623485542
196	0.2622203173
197	0.2620502554
198	0.2617655137
199	0.2616095888
200	0.2614631315
201	0.261370365
202	0.2612058971
203	0.2609830622
204	0.2608830603
205	0.2607924487
206	0.2605401401
